path,label,label_name,duration
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_103.wav,6,interjection,1.92
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_107.wav,0,fluent,1.856
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_110.wav,0,fluent,2.008
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_121.wav,6,interjection,2.08
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_131.wav,0,fluent,2.008
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_178.wav,6,interjection,1.984
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_19.wav,0,fluent,1.824
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_192.wav,0,fluent,1.984
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_195.wav,0,fluent,1.976
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_199.wav,6,interjection,1.88
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_203.wav,0,fluent,3.0
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_216.wav,6,interjection,2.912
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_228.wav,0,fluent,1.536
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_251.wav,6,interjection,1.976
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_256.wav,0,fluent,1.984
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_4.wav,0,fluent,2.048
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_52.wav,0,fluent,1.944
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/1/HeStutters_1_64.wav,0,fluent,2.04
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_0.wav,0,fluent,1.976
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_10.wav,0,fluent,2.008
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_11.wav,0,fluent,3.0
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_13.wav,6,interjection,1.344
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_14.wav,6,interjection,1.92
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_15.wav,6,interjection,1.984
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_16.wav,0,fluent,2.008
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_18.wav,6,interjection,2.016
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_20.wav,6,interjection,2.808
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_21.wav,0,fluent,2.104
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_22.wav,0,fluent,2.016
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_25.wav,0,fluent,2.016
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_26.wav,6,interjection,1.976
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_27.wav,0,fluent,1.984
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_29.wav,0,fluent,3.0
C:/Users/nikhi/Desktop/Stutter.io/Projexa-AI/Data_downloading/normalized_audio/clean_audio/HeStutters/10/HeStutters_10_30.wav,0,fluent,2.976
